"In employment","All nationalities",2078.4,2091.2,2110.6,2136.1,2169.6,2156.0,2146.4,2147.3,2136.4,2083.5,1996.4,1974.0,1953.6,1921.4,1891.9,1893.6,1886.1,1857.3,1841.8,1861.3,1845.6,1847.7,1825.0,1836.2,1841.3,1848.9,1845.6,1869.9,1899.3,1909.8,1888.2,1901.6,1926.9,1938.9,1929.5,1958.7,1983.0,1983.0,1976.5,2014.9,2040.5,2048.1,2045.1,2063.0
"Unemployed","Irish",82.8,69.8,79.3,86.7,85.8,83.4,89.0,103.7,128.7,140.1,175.9,217.9,226.9,222.0,231.2,248.9,251.3,250.0,249.1,259.4,269.8,258.5,261.7,265.1,267.3,241.2,233.3,245.3,229.5,204.7,207.2,206.3,201.1,176.4,170.8,174.4,163.6,152.8,147.2,152.4,142.6,121.8,119.6,116.3
"Unemployed","Non-Irish",22.3,19.8,21.5,20.8,21.6,21.2,24.6,27.3,35.0,33.7,53.6,57.1,62.0,55.2,53.0,56.1,59.3,60.9,58.6,58.0,58.3,55.4,60.2,57.9,57.3,53.4,58.7,55.4,53.4,48.5,50.9,48.3,44.4,37.2,42.0,36.8,39.4,34.7,32.3,35.4,35.1,25.6,26.7,25.1
"Unemployed","UK",4.8,4.2,3.3,3.3,5.9,4.6,4.4,4.7,5.2,4.9,8.3,7.8,10.6,8.9,9.9,10.5,10.6,11.2,12.0,11.3,14.5,12.6,13.7,11.9,10.8,11.2,11.8,10.6,10.5,11.2,10.8,10.2,9.6,8.0,9.3,8.5,7.3,6.5,6.3,7.6,5.9,5.0,0.0,0.0
"Unemployed","Other nationalities (7)",8.2,6.0,6.2,7.1,5.2,5.1,5.5,7.2,9.7,7.6,11.0,13.7,14.9,13.1,12.6,12.4,14.2,14.2,12.0,13.8,13.3,11.7,15.3,13.7,15.6,13.6,14.5,15.6,17.1,12.4,13.8,15.1,13.4,12.0,13.3,11.0,13.2,13.2,10.1,12.9,14.6,8.6,10.0,9.5
"Unemployed","EU15 to EU28 states",7.6,7.7,9.3,9.0,8.7,10.3,12.4,12.9,17.3,17.2,31.2,32.8,33.4,30.2,28.2,30.7,30.9,32.8,31.2,30.3,28.6,28.6,28.2,29.1,27.9,25.7,30.4,26.4,22.8,21.8,23.9,20.9,19.7,15.7,17.8,16.2,18.0,14.3,15.2,13.7,13.4,11.1,11.4,10.8
"Unemployed","EU15 excluding Irish and UK",0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.1,2.8,3.1,3.1,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,3.1,2.4,2.1,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Unemployed","All nationalities",105.1,89.6,100.7,107.5,107.5,104.6,113.6,131.0,163.7,173.8,229.5,275.0,288.9,277.3,284.1,305.1,310.6,310.9,307.6,317.4,328.1,313.9,321.9,323.0,324.5,294.6,292.0,300.7,282.9,253.2,258.1,254.5,245.5,213.6,212.8,211.2,203.0,187.5,179.5,187.8,177.7,147.4,146.2,141.5
"In labour force","Irish",1875.6,1858.3,1875.6,1893.4,1917.5,1897.9,1888.0,1905.8,1928.1,1896.2,1866.5,1887.7,1883.6,1851.7,1841.1,1864.7,1865.5,1836.0,1822.1,1842.9,1837.9,1836.4,1820.7,1831.2,1838.9,1820.8,1813.3,1839.1,1843.7,1830.9,1816.9,1825.4,1843.4,1829.7,1820.0,1842.2,1844.9,1834.9,1819.2,1852.1,1864.0,1853.5,1842.3,1849.7
"In labour force","Non-Irish",307.9,322.5,335.8,350.2,359.6,362.7,372.1,372.5,372.0,361.0,359.4,361.2,358.8,347.0,334.9,334.1,331.2,332.2,327.4,335.8,335.8,325.2,326.3,327.9,326.9,322.7,324.2,331.6,338.5,332.1,329.4,330.7,329.0,322.8,322.3,327.7,341.1,335.6,336.8,350.6,354.2,342.1,349.1,354.8
