"Sugar, sugar preparations and honey (06)","Value of Exports (Euro Thousand)",4196,6120,22851,36275,32220,39319,45967,48206,41386,53942,58781,69716,73120,63036,78557,85979,66556,82326,84022,87993,83549,84057,103611,109832,123419,89897,100309,101800,113100,135600,118900,142400,135500,144800,134900,106700,102600,82600,89600,111200,115700,107000,162400,212200,158900
"Coffee, tea, cocoa, spices and manufactures thereof (07)","Value of Imports (Euro Thousand)",15476,25118,26869,33657,64393,67330,74438,88809,87387,97377,104046,143116,161587,148533,135969,140935,133875,139558,147031,143480,143226,166590,162907,171669,197825,227283,226648,243800,257800,271700,252100,254500,297900,295000,323600,332300,321100,307200,359200,391200,416700,449100,545000,568500,591700
"Coffee, tea, cocoa, spices and manufactures thereof (07)","Value of Exports (Euro Thousand)",17407,25678,29455,36640,47105,58080,61115,57876,57712,75134,95221,117592,123629,134219,144508,150081,163070,191073,176689,179414,167732,187794,167225,177509,180303,260931,246456,258200,259500,276500,268400,268200,274600,279800,262500,253600,249300,267500,284300,362400,375700,354300,372400,374200,370100
"Feeding stuffs for animals, excluding unmilled cereals (08)","Value of Imports (Euro Thousand)",17289,24733,20191,40940,60145,79004,121603,100132,153040,140123,193074,179196,187797,238956,235291,271041,309469,267540,279932,289627,316927,379525,335084,334068,304991,315276,338893,351200,381300,388900,335200,332900,349300,380700,426200,444300,474700,530800,626000,803900,899100,775300,776100,740800,780000
"Feeding stuffs for animals, excluding unmilled cereals (08)","Value of Exports (Euro Thousand)",14001,15811,16686,23255,27777,25382,34590,38471,44579,43858,50670,48500,47917,45807,50720,54462,62456,59887,63705,69963,67931,82279,97389,100182,96754,105515,113769,121500,135100,142500,152900,169700,175400,142700,142300,169100,163500,188600,212300,235300,249600,239500,295800,283100,320600
"Miscellaneous edible products and preparations (09)","Value of Imports (Euro Thousand)",8671,13294,16234,18988,25793,28772,32735,34638,41826,44315,49179,57939,64971,68030,69154,79967,79147,101621,115121,132180,108182,111991,102341,117451,142973,184493,195794,206000,239000,235400,232600,236800,274500,298200,366800,381400,394100,396600,426200,403700,414600,465100,568900,635500,714500
"Miscellaneous edible products and preparations (09)","Value of Exports (Euro Thousand)",6736,15096,34906,66487,101535,114325,145931,159962,196950,239296,318340,405365,519153,524422,824408,907129,997882,933529,1010579,1280785,1588188,1834391,2154746,1722781,982904,1083087,1211203,1345700,1466100,1414300,1357900,1354000,1417600,1663100,1804800,1582600,1373600,1472500,1484900,1430800,1656800,1936300,2073000,2316800,2501000
"Beverages and tobacco (1)","Value of Imports (Euro Thousand)",32109,38163,45010,46380,50049,60081,71661,72102,83710,94988,92343,107840,131932,122795,132542,159399,177064,195998,231979,262201,236045,267788,264614,296357,350321,410633,500150,522100,679400,728500,705700,696000,776100,804800,903100,835800,769500,821800,806000,861700,823200,836600,876000,914400,905900
"Beverages and tobacco (1)","Value of Exports (Euro Thousand)",30014,33276,39783,48236,52646,66302,83087,106620,160007,215242,231567,264249,300144,289846,300604,319047,378217,414528,450344,478691,556145,593475,613664,657470,697848,721084,803618,958300,984800,1003000,1107500,1036700,1103400,1359000,1407600,1236700,1079100,1204300,1177200,1208500,1174200,1147200,1287500,1333500,1359300
"Beverages (11)","Value of Imports (Euro Thousand)",13047,12818,15410,19333,23180,31656,39865,40065,46982,47822,50009,63214,77535,78333,88593,117405,133573,155253,180863,203666,180938,213443,209507,236171,285564,344226,426632,446700,596300,643800,598800,637900,703200,727100,821000,754100,677400,725300,710300,773100,733000,749200,783900,833400,821200
"Beverages (11)","Value of Exports (Euro Thousand)",18278,18331,24248,27966,33830,45405,60775,83908,130967,177103,191728,219002,250601,244249,261052,282119,337529,377739,407686,430949,502181,532020,546749,587127,639948,670168,743559,854400,871000,895300,1012700,949000,1013600,1285000,1327300,1161700,1006900,1117200,1085600,1123900,1090400,1075600,1240100,1297900,1354500
"Tobacco and tobacco manufactures (12)","Value of Imports (Euro Thousand)",19063,25345,29599,27045,26869,28426,31797,32035,36728,47166,42334,44626,54397,44462,43948,41994,43490,40745,51116,58535,55107,54345,55107,60186,64757,66407,73518,75400,83100,84700,106900,58100,72900,77700,82100,81700,92100,96500,95700,88600,90200,87400,92100,81000,84700
"Tobacco and tobacco manufactures (12)","Value of Exports (Euro Thousand)",11735,14946,15534,20271,18816,20897,22312,22712,29040,38140,39841,45247,49544,45596,39552,36928,40686,36788,42658,47742,53964,61455,66915,70343,57900,50916,60059,103900,113800,107700,94800,87700,89800,74000,80300,75000,72200,87100,91600,84600,83800,71600,47400,35500,4800
"Crude materials, inedible, except fuels (2)","Value of Imports (Euro Thousand)",97772,137438,89440,140387,163735,163757,210578,214908,260017,236859,280837,375591,377516,319118,326768,374094,435947,429889,408071,370129,422189,505609,518815,517291,569097,652901,670930,819500,798800,800500,790200,843700,934700,1069100,1102500,832000,582800,678200,725500,693600,672300,727500,854700,824200,899400
"Crude materials, inedible, except fuels (2)","Value of Exports (Euro Thousand)",63632,84777,85173,98999,121812,152729,217072,230592,230856,291550,361089,641366,571472,516780,558224,700822,799014,655976,626698,594745,591190,693912,716387,706736,771620,740639,797524,942500,953200,862700,865500,991400,1077200,1493100,1538900,1312900,972200,1444100,1764400,1732700,1732500,1794500,1770600,1529300,1807600
"Hides, skins and furskins, raw (21)","Value of Imports (Euro Thousand)",4003,3063,2044,3794,5518,4972,7800,5047,5730,2834,1508,4932,3036,2358,2840,3937,3543,3339,2466,1270,1651,3428,4063,5460,7238,5206,6349,9300,4700,5300,5800,3000,2600,2800,2200,900,400,200,100,200,500,500,400,100,400
